NFT_ID,物品名称,稀有度,价格设置,销售价格（不要改）,关联物品id,token名,描述,核心技能id,技能等级,可放置land
id,name,rarity,null,price,item_id,token_name,desc,core_Skill_id,skill_level,placeableLand
int,string,string,null,int,int,string,string,string,string,string[]
1,VIP Land Portal,unique,,,80000012,VIP Land Portal," Play, Hold and Moon ",,,vip
2,VIP Land Portal,unique,,,80000013,VIP Land Portal,Panda Guild Games,,,vip
3,VIP Land Portal,unique,,,80000014,VIP Land Portal,KEEP LEARNING,,,vip
4,VIP Land Portal,unique,,,80000015,VIP Land Portal,Vodii,,,vip
5,VIP Land Portal,unique,,,80000016,VIP Land Portal,Be happy with you!,,,vip
6,VIP Land Portal,unique,,,80000017,VIP Land Portal,Handysim,,,vip
7,VIP Land Portal,unique,,,80000018,VIP Land Portal,InnoLand,,,vip
8,VIP Land Portal,unique,,,80000019,VIP Land Portal,,,,vip
9,VIP Land Portal,unique,,,80000020,VIP Land Portal,Empowering Success,,,vip
10,VIP Land Portal,unique,,,80000021,VIP Land Portal,Imagine D Impossible,,,vip
11,VIP Land Portal,unique,,,80000022,VIP Land Portal,,,,vip
12,VIP Land Portal,unique,,,80000023,VIP Land Portal,GMI,,,vip
13,VIP Land Portal,unique,,,80000024,VIP Land Portal,Welcome to my world,,,vip
14,VIP Land Portal,unique,,,80000025,VIP Land Portal,GO VEGAN,,,vip
15,VIP Land Portal,unique,,,80000026,VIP Land Portal,zeeisBOSS,,,vip
16,VIP Land Portal,unique,,,80000027,VIP Land Portal,zee's ARENA,,,vip
17,VIP Land Portal,unique,,,80000028,VIP Land Portal,I LOVE MELAND,,,vip
18,VIP Land Portal,unique,,,80000029,VIP Land Portal,WestingSpace,,,vip
19,VIP Land Portal,unique,,,80000030,VIP Land Portal,My Zone,,,vip
20,VIP Land Portal,unique,,,80000031,VIP Land Portal,welcome to the MEland,,,vip
21,VIP Land Portal,unique,,,80000032,VIP Land Portal,,,,vip
